REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MEASURE_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.3,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.2,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.2,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.1,PS,Persons,6,Millions,Normal value,Public
BEL,Belgium,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.1,PS,Persons,6,Millions,Normal value,Public
BLZ,Belize,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.1,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,9.6,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,8.8,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,8.3,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,8.3,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,8.3,PS,Persons,6,Millions,Normal value,Public
BEN,Benin,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,8.1,PS,Persons,6,Millions,Normal value,Public
