REF_AREA_LABEL,Value_2017,Value_2025,Absolute_Change,Percentage_Change
Malaysia,1.4,0.5,-0.8999999999999999,-64.28571428571428
Dominican Republic,2.8,1.9,-0.8999999999999999,-32.14285714285714
"Taiwan, China",1.9,0.9,-0.9999999999999999,-52.63157894736842
Hungary,4.0,2.9,-1.1,-27.500000000000004
Japan,17.4,16.2,-1.1999999999999993,-6.896551724137928
Kyrgyz Republic,2.9,1.6,-1.2999999999999998,-44.82758620689655
Kazakhstan,2.1,0.7,-1.4000000000000001,-66.66666666666667
Spain,5.9,4.5,-1.4000000000000004,-23.728813559322038
Greece,3.8,2.3,-1.5,-39.473684210526315
Benin,9.6,7.9,-1.6999999999999993,-17.708333333333325
Serbia,2.4,0.7,-1.7,-70.83333333333334
Italy,6.7,4.9,-1.7999999999999998,-26.86567164179104
Chile,9.3,7.3,-2.000000000000001,-21.50537634408603
Bulgaria,3.7,1.4,-2.3000000000000003,-62.16216216216217
Indonesia,198.9,195.9,-3.0,-1.5082956259426847
"Korea, Rep.",6.3,2.8,-3.5,-55.55555555555556
Viet Nam,10.6,7.1,-3.5,-33.01886792452831
United States,19.3,15.7,-3.6000000000000014,-18.652849740932652
Nepal,9.7,5.3,-4.3999999999999995,-45.36082474226804
Poland,7.6,2.8,-4.8,-63.1578947368421
Uzbekistan,7.3,2.3,-5.0,-68.4931506849315
Romania,11.0,3.8,-7.2,-65.45454545454545
Turkiye,12.6,3.5,-9.1,-72.22222222222221
Mexico,39.0,26.4,-12.600000000000001,-32.30769230769231
Brazil,58.9,44.8,-14.100000000000001,-23.938879456706285
Russian Federation,33.4,17.8,-15.599999999999998,-46.706586826347305
Bangladesh,101.8,67.8,-34.0,-33.39882121807466
China,406.5,160.4,-246.1,-60.541205412054126
India,813.1,520.1,-293.0,-36.034928053129995
Nicaragua,1.6,,,
